DAMAGE_TYPE,RARITY,DESTRUCTION,THE_HUNT,ERUDITION,HARMONY,NIHILITY,PRESERVATION,ABUNDANCE
PHYSICAL,5,Clara|Trailblazer|Yunli,Boothill,Argenti,Robin,,,
PHYSICAL,4,,Sushang,,Hanya,Luka,,Natasha
FIRE,5,Firefly,Topaz & Numby,Himeko,,Jiaoqiu,Trailblazer,Lingsha
FIRE,4,Hook,,,Asta,Guinaifen,,Gallagher
ICE,5,Jingliu,Yanqing,,Ruan Mei,,Gepard,
ICE,4,Misha,,Herta,,Pela,March 7th,
LIGHTENING,5,,,Jing Yuan,,Acheron|Kafka,,Bailu
LIGHTENING,4,Arlan,Moze,Serval,Tingyun,,,
WIND,5,Blade,Feixiao,,Bronya,Black Swan,,Huohuo
WIND,4,,Dan Heng,,,Sampo,,
QUANTUM,5,,Seele,Jade,Sparkle,Silver Wolf,Fu Xuan,
QUANTUM,4,Xueyi,,Qingque,,,,Lynx
IMAGINARY,5,Dan Heng • Imbibitor Lunae,Dr. Ratio,,Trailblazer,Welt,Aventurine,Luocha
IMAGINARY,4,,March 7th,,Yukong,,,
