DAMAGE_TYPE,RARITY,DESTRUCTION,THE_HUNT,ERUDITION,HARMONY,NIHILITY,PRESERVATION,ABUNDANCE
PHYSICAL,5,player|clara,boothill,argenti,robin,,,
PHYSICAL,4,,sushang,,hanya,luka,,natasha
FIRE,5,,topaz,himeko,,,player,
FIRE,4,hook,,,asta,guinaifen,,gallagher
ICE,5,jingliu,yanqing,,ruanmei,,gepard,
ICE,4,misha,,herta,,pela,mar7th,
LIGHTENING,5,,,jingyuan,,acheron|kafka,,bailu
LIGHTENING,4,arlan,,serval,tingyun,,,
WIND,5,blade,,,bronya,blackswan,,huohuo
WIND,4,,danheng,,,sampo,,
QUANTUM,5,,seele,,sparkle,silverwolf,fuxuan,
QUANTUM,4,xueyi,,qingque,,,,lynx
IMAGINARY,5,danhengil,drratio,,player,welt,aventurine,luocha
IMAGINARY,4,,,,yukong,,,
